customer_id,age,has_partner,dependents,tenure_months,contract_type,payment_method,paperless_billing,internet_service,online_security,tech_support,streaming_tv,monthly_charges,total_charges,days_since_last_login,login_frequency,usage_drop_rate,support_tickets,satisfaction_score,churn
CUST_000088,31,No,No,18,Month-to-month,Electronic check,Yes,DSL,Yes,No,Yes,47.47,823.3,5,22,43.1,3,1.0,1
CUST_000089,48,No,No,1,Month-to-month,Electronic check,Yes,DSL,Yes,No,Yes,70.13,68.31,12,13,18.9,3,4.0,0
CUST_000090,65,No,No,4,Month-to-month,Credit card,No,Fiber optic,No,No,No,45.04,175.26,14,24,-3.1,0,3.0,0
CUST_000091,32,Yes,Yes,6,Month-to-month,Mailed check,Yes,No,No internet service,No internet service,No internet service,56.23,327.11,32,16,14.8,3,1.0,1
CUST_000092,25,Yes,Yes,25,Month-to-month,Credit card,Yes,DSL,No,No,No,74.37,1784.35,2,13,0.9,1,3.0,0
CUST_000093,31,Yes,Yes,15,One year,Electronic check,Yes,DSL,Yes,Yes,Yes,105.41,1513.38,36,13,6.9,0,2.0,0
CUST_000094,40,Yes,Yes,14,Month-to-month,Credit card,No,DSL,No,No,Yes,41.45,569.65,9,16,17.4,5,4.0,1
CUST_000095,74,Yes,Yes,35,Month-to-month,Electronic check,Yes,DSL,No,No,Yes,41.09,1413.16,14,19,33.1,1,1.0,0
CUST_000096,57,Yes,No,14,Two year,Mailed check,Yes,DSL,No,No,No,49.76,716.14,14,17,-8.2,0,1.0,0
CUST_000097,38,Yes,No,10,Month-to-month,Credit card,Yes,DSL,Yes,Yes,No,71.94,743.2,3,19,33.9,0,5.0,0
CUST_000098,33,Yes,No,72,Month-to-month,Electronic check,No,Fiber optic,Yes,No,No,78.9,5482.16,15,22,24.1,3,2.0,0
CUST_000099,62,Yes,Yes,1,Month-to-month,Mailed check,Yes,No,No internet service,No internet service,No internet service,62.24,64.06,3,11,28.2,2,1.0,1
CUST_000100,35,Yes,No,8,Month-to-month,Mailed check,Yes,No,No internet service,No internet service,No internet service,64.12,501.04,6,14,26.4,5,3.0,1
CUST_000101,64,Yes,No,22,Month-to-month,Credit card,No,Fiber optic,Yes,No,No,18.5,406.92,25,24,-38.8,1,5.0,0
CUST_000102,70,Yes,Yes,36,One year,Electronic check,No,DSL,No,No,Yes,51.3,1770.33,23,14,15.9,0,2.0,0
CUST_000103,41,No,No,40,Month-to-month,Credit card,Yes,DSL,No,No,No,57.12,2261.56,15,11,-15.9,1,3.0,0
CUST_000104,43,Yes,No,1,Month-to-month,Bank transfer,No,Fiber optic,Yes,No,Yes,65.08,62.17,3,16,-41.0,0,3.0,0
CUST_000105,42,Yes,No,29,Month-to-month,Electronic check,Yes,Fiber optic,Yes,Yes,Yes,18.5,510.04,3,14,-21.7,4,3.0,0
CUST_000106,62,Yes,No,30,Two year,Mailed check,Yes,No,No internet service,No internet service,No internet service,88.26,2762.27,14,20,-40.5,1,3.0,0
CUST_000107,58,Yes,No,5,One year,Electronic check,Yes,DSL,No,Yes,No,36.19,186.35,4,24,4.9,0,3.0,0
CUST_000108,46,Yes,Yes,2,Month-to-month,Bank transfer,Yes,Fiber optic,No,No,No,87.5,169.97,5,13,2.4,0,4.0,0
CUST_000109,32,Yes,No,33,Month-to-month,Bank transfer,Yes,Fiber optic,Yes,No,Yes,76.25,2461.87,3,22,-0.9,1,4.0,0
CUST_000110,62,No,No,6,Month-to-month,Electronic check,Yes,No,No internet service,No internet service,No internet service,39.32,227.15,7,14,-22.2,0,2.0,0
CUST_000111,18,Yes,Yes,1,Month-to-month,Bank transfer,No,No,No internet service,No internet service,No internet service,29.1,28.08,2,13,-22.5,6,1.0,1
CUST_000112,42,Yes,Yes,6,One year,Mailed check,Yes,Fiber optic,No,No,Yes,95.0,574.69,15,16,7.7,0,3.0,0
CUST_000113,24,No,No,1,Month-to-month,Electronic check,Yes,Fiber optic,No,No,Yes,73.27,73.83,1,16,9.8,1,3.0,1
CUST_000114,26,Yes,No,6,Month-to-month,Credit card,No,Fiber optic,No,Yes,No,46.07,278.18,1,14,-39.8,0,3.0,0
CUST_000115,41,Yes,No,9,Month-to-month,Credit card,Yes,Fiber optic,Yes,Yes,Yes,31.01,266.17,19,13,36.3,8,5.0,1
CUST_000116,18,No,No,7,Month-to-month,Electronic check,Yes,DSL,Yes,Yes,Yes,60.1,428.51,2,12,-11.5,2,4.0,0
CUST_000117,61,No,No,60,One year,Credit card,No,Fiber optic,Yes,Yes,No,102.41,5853.17,21,13,-28.6,2,4.0,0
CUST_000118,25,Yes,No,6,Month-to-month,Credit card,Yes,No,No internet service,No internet service,No internet service,51.28,322.77,1,13,62.2,4,4.0,1
CUST_000119,41,No,No,15,Month-to-month,Electronic check,No,No,No internet service,No internet service,No internet service,73.3,1135.87,3,8,7.0,0,1.0,0
CUST_000120,28,Yes,No,72,Month-to-month,Electronic check,No,No,No internet service,No internet service,No internet service,40.7,3054.82,9,6,-46.3,0,2.0,0
CUST_000121,68,Yes,No,50,One year,Bank transfer,Yes,No,No internet service,No internet service,No internet service,63.42,3264.86,7,16,9.0,4,3.0,0
CUST_000122,34,No,No,8,Month-to-month,Credit card,Yes,DSL,Yes,Yes,Yes,55.36,434.83,8,10,9.8,0,1.0,0
CUST_000123,25,Yes,Yes,9,Month-to-month,Credit card,Yes,Fiber optic,No,Yes,Yes,45.79,399.58,52,17,-15.9,0,4.0,0
CUST_000124,52,Yes,No,21,Month-to-month,Electronic check,No,Fiber optic,Yes,Yes,Yes,35.3,740.71,12,16,32.4,2,2.0,1
CUST_000125,52,No,No,59,One year,Electronic check,Yes,Fiber optic,No,No,No,27.73,1684.41,2,8,-1.7,3,3.0,0
CUST_000126,50,No,No,1,Month-to-month,Mailed check,Yes,DSL,Yes,No,No,96.88,97.13,3,22,18.1,2,5.0,0
CUST_000127,22,Yes,No,11,Month-to-month,Electronic check,Yes,Fiber optic,No,No,No,85.74,924.3,19,20,-42.6,6,1.0,1
CUST_000128,59,No,No,45,Month-to-month,Electronic check,Yes,No,No internet service,No internet service,No internet service,40.58,1782.51,5,15,25.7,0,3.0,0
CUST_000129,56,Yes,No,12,Month-to-month,Bank transfer,No,DSL,No,Yes,Yes,119.48,1431.6,12,13,-51.4,2,5.0,0
CUST_000130,58,No,No,30,Month-to-month,Mailed check,Yes,Fiber optic,No,No,No,82.97,2463.94,7,16,19.8,2,5.0,0
CUST_000131,45,Yes,No,28,Month-to-month,Mailed check,No,DSL,Yes,Yes,Yes,29.77,844.05,2,11,-13.8,3,2.0,0
CUST_000132,24,Yes,Yes,5,Month-to-month,Credit card,Yes,No,No internet service,No internet service,No internet service,48.05,228.54,67,15,-2.4,2,2.0,1
CUST_000133,26,Yes,No,14,One year,Electronic check,Yes,No,No internet service,No internet service,No internet service,47.5,673.8,7,23,23.8,2,5.0,0
CUST_000134,25,Yes,Yes,20,Month-to-month,Mailed check,Yes,Fiber optic,Yes,No,No,72.26,1441.6,2,19,4.6,0,3.0,0
CUST_000135,29,Yes,No,30,One year,Bank transfer,Yes,Fiber optic,No,No,Yes,45.61,1409.4,22,15,18.2,1,2.0,0
CUST_000136,51,No,No,41,Two year,Electronic check,No,Fiber optic,No,No,Yes,72.0,2889.15,8,21,30.0,7,4.0,0
CUST_000137,50,No,No,34,Two year,Bank transfer,No,Fiber optic,No,No,No,85.5,2989.77,2,17,8.2,0,3.0,0
CUST_000138,65,Yes,Yes,1,Month-to-month,Credit card,No,DSL,No,No,Yes,53.11,55.53,11,20,-11.1,0,5.0,0
CUST_000139,72,Yes,Yes,26,One year,Bank transfer,Yes,Fiber optic,Yes,No,Yes,19.51,504.92,17,9,-23.0,7,4.0,0
CUST_000140,40,Yes,No,16,One year,Credit card,Yes,Fiber optic,No,No,No,117.75,1858.62,5,16,-6.7,2,2.0,0
CUST_000141,41,No,No,20,Month-to-month,Electronic check,No,Fiber optic,No,Yes,No,83.78,1735.18,9,19,-48.8,0,2.0,0
CUST_000142,54,No,No,11,Month-to-month,Electronic check,No,No,No internet service,No internet service,No internet service,48.98,524.53,26,23,20.1,0,5.0,0
CUST_000143,52,No,No,30,Month-to-month,Mailed check,Yes,Fiber optic,Yes,No,No,78.7,2415.95,6,13,26.6,0,4.0,0
CUST_000144,61,No,No,26,Month-to-month,Credit card,No,Fiber optic,Yes,Yes,Yes,122.03,3195.84,32,19,-20.4,6,5.0,0
CUST_000145,57,Yes,No,20,Month-to-month,Bank transfer,No,Fiber optic,No,No,Yes,43.38,861.64,4,10,7.0,1,3.0,0
CUST_000146,39,Yes,Yes,47,Month-to-month,Mailed check,Yes,Fiber optic,No,Yes,No,37.53,1709.61,8,16,-43.2,0,3.0,0
CUST_000147,44,No,No,2,Month-to-month,Bank transfer,No,DSL,No,No,No,82.57,157.1,18,16,3.0,0,1.0,0
CUST_000148,52,No,No,8,Two year,Electronic check,Yes,Fiber optic,No,Yes,Yes,32.51,261.08,5,16,-40.1,9,1.0,1
CUST_000149,18,Yes,No,16,Month-to-month,Bank transfer,Yes,DSL,No,No,No,36.38,556.35,6,17,-40.6,1,3.0,0
CUST_000150,52,Yes,Yes,72,One year,Electronic check,No,No,No internet service,No internet service,No internet service,74.7,5166.77,13,16,-0.8,0,3.0,0
CUST_000151,54,No,No,1,One year,Bank transfer,Yes,No,No internet service,No internet service,No internet service,67.92,68.63,9,21,-10.9,0,4.0,0
CUST_000152,64,Yes,No,9,Month-to-month,Bank transfer,No,Fiber optic,No,Yes,No,32.14,281.76,5,26,9.0,4,2.0,1
CUST_000153,31,Yes,No,62,One year,Mailed check,No,Fiber optic,No,Yes,No,96.8,6115.16,8,21,-54.6,0,1.0,0
CUST_000154,20,No,No,54,Two year,Credit card,Yes,DSL,No,Yes,No,20.36,1060.75,4,11,4.2,0,4.0,0
CUST_000155,18,Yes,No,48,One year,Electronic check,Yes,Fiber optic,No,Yes,No,43.67,2006.12,6,15,12.9,2,4.0,0
CUST_000156,22,Yes,No,8,Month-to-month,Electronic check,No,DSL,Yes,No,No,60.86,488.05,21,17,-10.7,1,5.0,0
CUST_000157,43,No,No,45,Two year,Mailed check,No,Fiber optic,No,No,Yes,75.61,3313.48,10,13,-42.2,3,3.0,0
CUST_000158,72,No,No,16,Month-to-month,Credit card,No,Fiber optic,No,No,Yes,68.97,1095.47,7,18,33.9,4,4.0,1
CUST_000159,31,No,No,23,Two year,Mailed check,Yes,No,No internet service,No internet service,No internet service,43.3,956.98,5,17,5.1,2,5.0,0
CUST_000160,56,Yes,No,6,Month-to-month,Credit card,No,Fiber optic,No,Yes,No,48.19,283.15,17,17,-8.7,0,4.0,0
CUST_000161,44,Yes,Yes,29,One year,Bank transfer,Yes,Fiber optic,No,Yes,No,52.38,,23,17,-4.5,1,4.0,0
CUST_000162,26,No,No,9,Month-to-month,Credit card,Yes,No,No internet service,No internet service,No internet service,83.63,776.06,4,22,-3.3,1,1.0,0
CUST_000163,32,No,No,10,Two year,Credit card,Yes,DSL,Yes,Yes,No,32.65,310.32,71,14,12.7,2,5.0,0
CUST_000164,32,Yes,No,24,Month-to-month,Bank transfer,Yes,No,No internet service,No internet service,No internet service,50.78,1274.73,12,13,-10.0,0,1.0,0
CUST_000165,43,No,No,6,Two year,Bank transfer,No,Fiber optic,Yes,No,Yes,44.47,260.74,26,17,-23.0,1,4.0,0
CUST_000166,59,Yes,No,6,Month-to-month,Bank transfer,No,Fiber optic,Yes,Yes,No,117.89,677.49,8,14,36.3,2,4.0,1
CUST_000167,30,Yes,Yes,11,Month-to-month,Credit card,Yes,Fiber optic,No,No,Yes,30.76,350.38,15,22,26.5,0,1.0,1
CUST_000168,68,Yes,No,36,Two year,Electronic check,Yes,Fiber optic,No,Yes,Yes,46.38,1697.8,52,12,-6.3,1,,0
CUST_000169,49,Yes,No,6,Month-to-month,Credit card,No,DSL,Yes,Yes,Yes,43.07,267.54,35,18,-51.5,0,4.0,0
CUST_000170,56,Yes,Yes,37,Two year,Bank transfer,Yes,DSL,No,Yes,No,32.91,1223.3,3,12,-2.9,1,1.0,0
CUST_000171,66,No,No,28,Month-to-month,Bank transfer,Yes,Fiber optic,Yes,Yes,Yes,88.72,2423.97,17,14,24.1,0,3.0,0
CUST_000172,69,No,No,27,Month-to-month,Electronic check,Yes,Fiber optic,No,No,Yes,49.27,1276.88,4,16,-20.3,10,1.0,1
CUST_000173,49,No,No,15,One year,Credit card,Yes,DSL,No,No,Yes,125.0,1883.82,43,16,18.4,4,3.0,1
CUST_000174,21,Yes,Yes,32,Two year,Electronic check,No,Fiber optic,Yes,Yes,No,44.54,1446.28,19,16,-23.8,2,4.0,0
CUST_000175,47,Yes,No,1,Month-to-month,Credit card,Yes,DSL,Yes,No,No,64.44,64.1,21,15,-5.4,0,2.0,0
CUST_000176,54,Yes,No,8,Month-to-month,Electronic check,Yes,DSL,Yes,Yes,No,54.34,427.43,34,21,22.9,0,1.0,0
CUST_000177,40,Yes,No,27,One year,Bank transfer,No,Fiber optic,No,No,No,43.03,1202.33,16,17,-10.7,4,3.0,0
CUST_000178,56,No,No,72,Two year,Mailed check,No,Fiber optic,No,Yes,Yes,34.04,2485.2,5,14,-10.6,1,4.0,0
CUST_000179,62,No,No,1,Two year,Bank transfer,No,DSL,Yes,Yes,Yes,113.84,109.87,13,17,17.2,2,4.0,0
CUST_000180,32,No,No,17,One year,Mailed check,Yes,No,No internet service,No internet service,No internet service,58.62,1038.15,10,13,-18.3,0,3.0,0
CUST_000181,60,Yes,Yes,61,One year,Bank transfer,Yes,DSL,Yes,Yes,Yes,69.4,4094.07,16,22,-2.3,1,3.0,0
CUST_000182,46,Yes,Yes,47,Month-to-month,Electronic check,No,DSL,No,No,Yes,47.16,2303.45,4,12,7.4,6,2.0,0
CUST_000183,53,No,No,1,Month-to-month,Credit card,Yes,No,No internet service,No internet service,No internet service,87.01,83.02,10,14,-13.2,8,,1
CUST_000184,30,Yes,No,18,Two year,Electronic check,No,DSL,No,Yes,No,51.57,971.97,4,22,51.0,2,3.0,0
CUST_000185,49,No,No,1,Two year,Credit card,No,Fiber optic,No,No,No,67.9,67.91,16,8,-5.6,0,3.0,0
CUST_000186,24,No,No,37,Two year,Bank transfer,Yes,DSL,No,Yes,No,91.41,3254.7,20,29,-46.2,7,5.0,0
CUST_000187,68,Yes,No,8,Two year,Electronic check,No,Fiber optic,No,No,No,83.08,638.6,3,16,1.3,0,1.0,0
CUST_000188,39,No,No,34,Month-to-month,Bank transfer,Yes,Fiber optic,No,Yes,Yes,123.94,4179.37,39,22,22.4,3,3.0,1
CUST_000189,45,No,No,69,Two year,Bank transfer,No,Fiber optic,Yes,No,No,66.44,4549.28,10,13,6.5,0,1.0,0
CUST_000190,19,Yes,No,72,One year,Bank transfer,No,No,No internet service,No internet service,No internet service,110.81,8042.91,26,11,-36.9,1,4.0,0
CUST_000191,59,No,No,53,One year,Electronic check,Yes,Fiber optic,Yes,No,No,63.68,3326.86,4,9,85.2,2,2.0,0
CUST_000192,62,Yes,Yes,5,Month-to-month,Credit card,No,DSL,No,Yes,No,55.65,278.51,3,14,38.8,3,5.0,1
CUST_000193,74,Yes,No,5,Month-to-month,Bank transfer,No,No,No internet service,No internet service,No internet service,55.71,281.45,36,10,19.7,2,2.0,1
CUST_000194,70,No,No,23,One year,Mailed check,Yes,Fiber optic,No,Yes,Yes,92.01,2192.84,61,16,15.2,1,1.0,1
